condition_type,day_type,condition_value,end_station_name,return_count,end_lat,end_lng,total_returns_in_group,return_share
cold,weekday,cold,Clark St & Elm St,1958,41.90301732164141,-87.63152289470456,285975,0.006846752338491127
cold,weekday,cold,Clark St & Elmdale Ave,147,41.99086044812557,-87.66972362995148,285975,0.0005140309467610805
cold,weekday,cold,Clark St & Fletcher St,54,41.93894,-87.65030999999999,285975,0.0001888276947285602
cold,weekday,cold,Clark St & Grace St,464,41.95078,-87.659172,285975,0.0016225194510009616
cold,weekday,cold,Clark St & Ida B Wells Dr,782,41.8759326655,-87.6305845355,285975,0.0027345047644024827
cold,weekday,cold,Clark St & Jarvis Ave,47,42.015963000000006,-87.675005,285975,0.00016435003059708016
cold,weekday,cold,Clark St & Lake St,1601,41.88602073203813,-87.63087535800302,285975,0.005598391467785646
cold,weekday,cold,Clark St & Leland Ave,417,41.96708784150231,-87.66729089029786,285975,0.0014581694204038815
cold,weekday,cold,Clark St & Lincoln Ave,896,41.915689,-87.6346,285975,0.003133141008829443
cold,weekday,cold,Clark St & Lunt Ave,289,42.00901118058077,-87.67411172389984,285975,0.001010577847713961
cold,weekday,cold,Clark St & Montrose Ave,328,41.961588,-87.666036,285975,0.0011469534050179211
cold,weekday,cold,Clark St & Newport St,861,41.94454,-87.654678,285975,0.003010752688172043
cold,weekday,cold,Clark St & North Ave,364,41.911974,-87.631942,285975,0.0012728385348369613
cold,weekday,cold,Clark St & Schiller St,721,41.907993,-87.631501,285975,0.0025211994055424425
cold,weekday,cold,Clark St & Schreiber Ave,172,41.999245,-87.671249,285975,0.0006014511758020806
cold,weekday,cold,Clark St & Touhy Ave,47,42.01256011541,-87.6743671152,285975,0.00016435003059708016
cold,weekday,cold,Clark St & Washington St,82,41.88301,-87.63100000000001,285975,0.0002867383512544803
cold,weekday,cold,Clark St & Wellington Ave,713,41.9364968219,-87.6475386582,285975,0.0024932249322493225
cold,weekday,cold,Clark St & Winnemac Ave,799,41.97334764047304,-87.6678554713726,285975,0.002793950520150363
cold,weekday,cold,Clark St & Wrightwood Ave,923,41.929546,-87.643118,285975,0.0032275548561937232
cold,weekday,cold,Clark/Newport Corral,15,41.9449411,-87.654611,285975,5.245213742460005e-05
cold,weekday,cold,Clark/Racine Corral,4,41.950436,-87.6593212,285975,1.3987236646560014e-05
cold,weekday,cold,Clifton Ave & Armitage Ave,638,41.918216,-87.656936,285975,0.0022309642451263222
cold,weekday,cold,Clinton St & 18th St,226,41.85795,-87.640826,285975,0.0007902788705306408
cold,weekday,cold,Clinton St & Jackson Blvd,2750,41.87831662050808,-87.64098109175531,285975,0.00961622519451001
cold,weekday,cold,Clinton St & Lake St,2132,41.885637,-87.641823,285975,0.0074551971326164874
cold,weekday,cold,Clinton St & Madison St,3333,41.88275006331282,-87.64119022354309,285975,0.011654864935746133
cold,weekday,cold,Clinton St & Polk St,84,41.87146651779,-87.6409491327,285975,0.0002937319695777603
cold,weekday,cold,Clinton St & Roosevelt Rd,441,41.8671177825,-87.6410879593,285975,0.0015420928402832415
cold,weekday,cold,Clinton St & Tilden St,628,41.875885,-87.640795,285975,0.002195996153509922
cold,weekday,cold,Clinton St & Washington Blvd,4067,41.883378993326986,-87.64117008864396,285975,0.014221522860389895
cold,weekday,cold,Clybourn Ave & Division St,447,41.904613,-87.640552,285975,0.0015630736952530816
cold,weekday,cold,Clyde Ave & 87th St,3,41.73715146431056,-87.57274031639099,285975,1.049042748492001e-05
cold,weekday,cold,Columbus Ave & 79th St,19,41.749119,-87.704263,285975,6.643937407116007e-05
cold,weekday,cold,Columbus Ave & 83rd Pl,2,41.74134599999999,-87.713696,285975,6.993618323280007e-06
cold,weekday,cold,Columbus Dr & Randolph St,1218,41.884728,-87.619521,285975,0.004259113558877524
cold,weekday,cold,Commercial Ave & 100th St,1,41.71331739547704,-87.55109757184982,285975,3.4968091616400035e-06
cold,weekday,cold,Commercial Ave & 130th St,10,41.659150427597744,-87.55076229572296,285975,3.4968091616400035e-05
cold,weekday,cold,Commercial Ave & 83rd St,9,41.744615,-87.551208,285975,3.147128245476003e-05
cold,weekday,cold,Commercial Ave & 90th St,1,41.73182347826087,-87.55225260869565,285975,3.4968091616400035e-06
cold,weekday,cold,Commercial Ave & 97th St,6,41.71893,-87.55112,285975,2.098085496984002e-05
cold,weekday,cold,Conservatory Dr & Lake St,29,41.885502,-87.716866,285975,0.0001014074656875601
cold,weekday,cold,Constance Ave & 95th St,3,41.72229074095262,-87.57896840572357,285975,1.049042748492001e-05
cold,weekday,cold,Cornell Ave & Hyde Park Blvd,414,41.802406,-87.586924,285975,0.0014476789929189614
cold,weekday,cold,Cottage Grove Ave & 111th Pl,3,41.69170975847015,-87.61000156402588,285975,1.049042748492001e-05
cold,weekday,cold,Cottage Grove Ave & 43rd St,23,41.816499,-87.606582,285975,8.042661071772008e-05
cold,weekday,cold,Cottage Grove Ave & 47th St,44,41.809855,-87.606755,285975,0.00015385960311216015
cold,weekday,cold,Cottage Grove Ave & 49th St,16,41.806273,-87.606643,285975,5.5948946586240056e-05
cold,weekday,cold,Cottage Grove Ave & 51st St,39,41.803038,-87.606615,285975,0.00013637555730396014
cold,weekday,cold,Cottage Grove Ave & 63rd St,92,41.78053094070882,-87.6059702038765,285975,0.0003217064428708803
cold,weekday,cold,Cottage Grove Ave & 67th St,21,41.77372095205,-87.60563486,285975,7.343299239444007e-05
cold,weekday,cold,Cottage Grove Ave & 71st St,1,41.76571903697,-87.604959713,285975,3.4968091616400035e-06
cold,weekday,cold,Cottage Grove Ave & 78th St,1,41.753174,-87.605026,285975,3.4968091616400035e-06
cold,weekday,cold,Cottage Grove Ave & 83rd St,13,41.743441,-87.604836,285975,4.5458519101320045e-05
cold,weekday,cold,Cottage Grove Ave & Oakwood Blvd,22,41.822985,-87.6071,285975,7.692980155608008e-05
cold,weekday,cold,Cumberland Ave & Catherine Ave,8,41.97732,-87.83674,285975,2.7974473293120028e-05
cold,weekday,cold,Daley Center Plaza,2057,41.88424087537072,-87.62963348535213,285975,0.007192936445493487
cold,weekday,cold,Damen Ave & 33rd St,1,41.834108,-87.67559,285975,3.4968091616400035e-06
cold,weekday,cold,Damen Ave & 51st St,6,41.800908,-87.674684,285975,2.098085496984002e-05
cold,weekday,cold,Damen Ave & 59th St,1,41.785861065132,-87.67414391040802,285975,3.4968091616400035e-06
cold,weekday,cold,Damen Ave & 77th St,8,41.75403254224914,-87.67335649122808,285975,2.7974473293120028e-05
cold,weekday,cold,Damen Ave & 81st St,8,41.746534,-87.67305500000002,285975,2.7974473293120028e-05
cold,weekday,cold,Damen Ave & 87th St,4,41.736044,-87.672861,285975,1.3987236646560014e-05
cold,weekday,cold,Damen Ave & Charleston St,291,41.920082,-87.677855,285975,0.001017571466037241
cold,weekday,cold,Damen Ave & Chicago Ave,562,41.89569719911461,-87.67713042376089,285975,0.001965206748841682
cold,weekday,cold,Damen Ave & Clybourn Ave,215,41.931931,-87.677856,285975,0.0007518139697526008
cold,weekday,cold,Damen Ave & Cortland St,458,41.915983,-87.67733500000001,285975,0.0016015385960311216
cold,weekday,cold,Damen Ave & Cullerton St,142,41.854966518753926,-87.67569959163664,285975,0.0004965469009528805
cold,weekday,cold,Damen Ave & Division St,476,41.903266,-87.678435,285975,0.0016644811609406417
cold,weekday,cold,Damen Ave & Evergreen Ave,39,41.90605,-87.67758,285975,0.00013637555730396014
cold,weekday,cold,Damen Ave & Foster Ave,277,41.9758109755749,-87.67950989857908,285975,0.000968616137774281
cold,weekday,cold,Damen Ave & Grand Ave,165,41.89239445296271,-87.67688512802124,285975,0.0005769735116706006
cold,weekday,cold,Damen Ave & Lake St,286,41.8849659,-87.6768354,285975,0.001000087420229041
cold,weekday,cold,Damen Ave & Leland Ave,342,41.967081,-87.679076,285975,0.0011959087332808812
cold,weekday,cold,Damen Ave & Madison St,195,41.88137,-87.67493,285975,0.0006818777865198007
