end_station_name,return_count_cold,return_count_mild,return_share_cold,return_share_mild,total_return_count,cold_minus_mild_share,cold_mild_share_ratio,end_lat,end_lng
Wells St & 19th St,31.0,974.0,0.00010840108401084011,0.000345840153675173,1005.0,-0.00023743906966433288,0.31344472125100364,41.856802,-87.633879
Clark St & Bryn Mawr Ave,400.0,4608.0,0.0013987236646560014,0.0016361718974694016,5008.0,-0.0002374482328134002,0.8548758305551625,41.983593,-87.669154
Chicago Ave & Washington St,120.0,1851.0,0.0004196170993968004,0.000657238320793373,1971.0,-0.00023762122139657255,0.6384555611953756,42.032562,-87.679101
South Shore Dr & 71st St,9.0,761.0,3.147128245476003e-05,0.00027020981206037645,770.0,-0.00023873852960561642,0.11647306861920759,41.7664094567,-87.5656875719
Milwaukee Ave & Fullerton Ave,165.0,2298.0,0.0005769735116706006,0.0008159555165765376,2463.0,-0.00023898200490593698,0.7071142885056912,41.924690375095686,-87.70058124521562
California Ave & Fletcher St,136.0,2016.0,0.0004755660459830405,0.0007158252051428632,2152.0,-0.00024025915915982274,0.6643610454134292,41.93842879148,-87.698007756
Sheridan Rd & Loyola Ave,184.0,2494.0,0.0006434128857417606,0.0008855496337432048,2678.0,-0.0002421367480014442,0.7265692792992119,42.00104377979,-87.6611982433
Stetson Ave & South Water St,600.0,6593.0,0.002098085496984002,0.002340989869795088,7193.0,-0.00024290437281108577,0.8962386500754068,41.886835,-87.62232
State St & Harrison St,391.0,4555.0,0.0013672523822012414,0.0016173530800722927,4946.0,-0.0002501006978710514,0.8453642891481917,41.874053,-87.627716
Damen Ave & Leland Ave,342.0,4076.0,0.0011959087332808812,0.0014472735794455905,4418.0,-0.0002513648461647093,0.8263184818315541,41.967081,-87.679076
Sheridan Rd & Lawrence Ave,251.0,3184.0,0.0008776990995716409,0.0011305493319319823,3435.0,-0.00025285023236034146,0.7763476554571003,41.969516999999996,-87.654691
Lake Park Ave & 53rd St,379.0,4447.0,0.0013252906722615613,0.0015790053012253536,4826.0,-0.0002537146289637922,0.8393200655583816,41.79949429373001,-87.5864498959
W Armitage Ave & N Sheffield Ave,184.0,2536.0,0.0006434128857417606,0.0009004626588503477,2720.0,-0.0002570497731085871,0.7145362052292358,41.917805,-87.653449
Dayton St & North Ave,678.0,7414.0,0.0023708366115919224,0.0026325040034370973,8092.0,-0.00026166739184517495,0.9006013696066931,41.9105780349,-87.6494219288
Eddy/Seminary Corral,6.0,798.0,2.098085496984002e-05,0.0002833474770357167,804.0,-0.00026236662206587666,0.0740496479435646,41.9461279,-87.6566721
Lincoln Ave & Byron St,207.0,2788.0,0.0007238394964594807,0.0009899408094932057,2995.0,-0.00026610131303372495,0.731194995016976,41.952372,-87.677296
Field Blvd & South Water St,705.0,7703.0,0.0024652504589562025,0.002735119819055295,8408.0,-0.00026986936009909274,0.9013318321373807,41.88634906269,-87.6175165471
Green St & Randolph St*,508.0,5781.0,0.0017763790541131218,0.0020526713843903237,6289.0,-0.0002762923302772019,0.8653987200401367,41.8836016120626,-87.64862672558314
Western Ave & Walton St,312.0,3856.0,0.001091004458431681,0.0013691577336462702,4168.0,-0.00027815327521458913,0.796843661454924,41.89841768945,-87.6865960164
Greenview Ave & Fullerton Ave,451.0,5244.0,0.0015770609318996416,0.0018619977062347096,5695.0,-0.00028493677433506803,0.8469726249642457,41.92533,-87.6658
