end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,condition_type,condition_value,weekend_minus_weekday_share_under_weather,total_return_count_under_weather,end_lat,end_lng
Clark St & Schiller St,721.0,267.0,0.0025211994055424425,0.00330719780015607,cold,cold,0.0007859983946136274,988.0,41.907993,-87.631501
Clark St & Schreiber Ave,172.0,69.0,0.0006014511758020806,0.0008546690944223552,cold,cold,0.0002532179186202746,241.0,41.999245,-87.671249
Clark St & Touhy Ave,47.0,27.0,0.00016435003059708016,0.000334435732600052,cold,cold,0.00017008570200297186,74.0,42.01256011541,-87.6743671152
Clark St & Washington St,82.0,11.0,0.0002867383512544803,0.00013625159476298416,cold,cold,-0.00015048675649149612,93.0,41.88301,-87.63100000000001
Clark St & Wellington Ave,713.0,315.0,0.0024932249322493225,0.003901750213667274,cold,cold,0.0014085252814179513,1028.0,41.9364968219,-87.6475386582
Clark St & Winnemac Ave,799.0,314.0,0.002793950520150363,0.003889363705052457,cold,cold,0.001095413184902094,1113.0,41.97334764047304,-87.6678554713726
Clark St & Wrightwood Ave,923.0,416.0,0.0032275548561937232,0.005152787583763765,cold,cold,0.0019252327275700414,1339.0,41.929546,-87.643118
Clifton Ave & Armitage Ave,638.0,177.0,0.0022309642451263222,0.002192412024822563,cold,cold,-3.8552220303759033e-05,815.0,41.918216,-87.656936
Clinton St & 18th St,226.0,58.0,0.0007902788705306408,0.000718417499659371,cold,cold,-7.186137087126978e-05,284.0,41.85795,-87.640826
Clinton St & Jackson Blvd,2750.0,205.0,0.00961622519451001,0.002539234266037432,cold,cold,-0.0070769909284725775,2955.0,41.87831662050808,-87.64098109175531
Clinton St & Lake St,2132.0,225.0,0.0074551971326164874,0.0027869644383337667,cold,cold,-0.004668232694282721,2357.0,41.885637,-87.641823
Clinton St & Madison St,3333.0,452.0,0.011654864935746133,0.005598701893897167,cold,cold,-0.006056163041848965,3785.0,41.88275006331282,-87.64119022354309
Clinton St & Polk St,84.0,15.0,0.0002937319695777603,0.00018579762922225112,cold,cold,-0.00010793434035550917,99.0,41.87146651779,-87.6409491327
Clinton St & Roosevelt Rd,441.0,154.0,0.0015420928402832415,0.0019075223266817782,cold,cold,0.0003654294863985367,595.0,41.8671177825,-87.6410879593
Clinton St & Tilden St,628.0,101.0,0.002195996153509922,0.001251037370096491,cold,cold,-0.0009449587834134312,729.0,41.875885,-87.640795
Clinton St & Washington Blvd,4067.0,125.0,0.014221522860389895,0.0015483135768520927,cold,cold,-0.012673209283537802,4192.0,41.883378993326986,-87.64117008864396
Clybourn Ave & Division St,447.0,156.0,0.0015630736952530816,0.0019322953439114116,cold,cold,0.00036922164865833005,603.0,41.904613,-87.640552
Columbus Dr & Randolph St,1218.0,273.0,0.004259113558877524,0.0033815168518449706,cold,cold,-0.0008775967070325536,1491.0,41.884728,-87.619521
Conservatory Dr & Lake St,29.0,29.0,0.0001014074656875601,0.0003592087498296855,cold,cold,0.0002578012841421254,58.0,41.885502,-87.716866
Cornell Ave & Hyde Park Blvd,414.0,134.0,0.0014476789929189614,0.0016597921543854434,cold,cold,0.000212113161466482,548.0,41.802406,-87.586924
Cottage Grove Ave & 47th St,44.0,17.0,0.00015385960311216015,0.0002105706464518846,cold,cold,5.671104333972445e-05,61.0,41.809855,-87.606755
Cottage Grove Ave & 51st St,39.0,17.0,0.00013637555730396014,0.0002105706464518846,cold,cold,7.419508914792447e-05,56.0,41.803038,-87.606615
Cottage Grove Ave & 63rd St,92.0,30.0,0.0003217064428708803,0.00037159525844450224,cold,cold,4.988881557362192e-05,122.0,41.78053094070882,-87.6059702038765
Daley Center Plaza,2057.0,280.0,0.007192936445493487,0.0034682224121486875,cold,cold,-0.0037247140333447996,2337.0,41.88424087537072,-87.62963348535213
Damen Ave & Charleston St,291.0,122.0,0.001017571466037241,0.0015111540510076426,cold,cold,0.0004935825849704016,413.0,41.920082,-87.677855
Damen Ave & Chicago Ave,562.0,213.0,0.001965206748841682,0.002638326334955966,cold,cold,0.0006731195861142841,775.0,41.89569719911461,-87.67713042376089
Damen Ave & Clybourn Ave,215.0,127.0,0.0007518139697526008,0.001573086594081726,cold,cold,0.0008212726243291254,342.0,41.931931,-87.677856
Damen Ave & Cortland St,458.0,185.0,0.0016015385960311216,0.002291504093741097,cold,cold,0.0006899654977099755,643.0,41.915983,-87.67733500000001
Damen Ave & Cullerton St,142.0,44.0,0.0004965469009528805,0.0005450063790519367,cold,cold,4.845947809905616e-05,186.0,41.854966518753926,-87.67569959163664
Damen Ave & Division St,476.0,190.0,0.0016644811609406417,0.002353436636815181,cold,cold,0.0006889554758745392,666.0,41.903266,-87.678435
Damen Ave & Foster Ave,277.0,100.0,0.000968616137774281,0.0012386508614816742,cold,cold,0.0002700347237073932,377.0,41.9758109755749,-87.67950989857908
Damen Ave & Grand Ave,165.0,52.0,0.0005769735116706006,0.0006440984479704706,cold,cold,6.712493629987e-05,217.0,41.89239445296271,-87.67688512802124
Damen Ave & Lake St,286.0,60.0,0.001000087420229041,0.0007431905168890045,cold,cold,-0.0002568969033400365,346.0,41.8849659,-87.6768354
Damen Ave & Leland Ave,342.0,106.0,0.0011959087332808812,0.0013129699131705745,cold,cold,0.00011706117988969332,448.0,41.967081,-87.679076
Damen Ave & Madison St,195.0,69.0,0.0006818777865198007,0.0008546690944223552,cold,cold,0.00017279130790255452,264.0,41.88137,-87.67493
Damen Ave & Melrose Ave,139.0,53.0,0.0004860564734679605,0.0006564849565852873,cold,cold,0.00017042848311732677,192.0,41.9406,-87.6785
Damen Ave & Ohio St,151.0,22.0,0.0005280181834076405,0.00027250318952596833,cold,cold,-0.0002555149938816722,173.0,41.89239445296271,-87.67688512802124
Damen Ave & Pierce Ave,759.0,268.0,0.0026540781536847627,0.003319584308770887,cold,cold,0.0006655061550861242,1027.0,41.90913973176558,-87.6775313230267
Damen Ave & St Paul Ave,81.0,35.0,0.0002832415420928403,0.00043352780151858594,cold,cold,0.00015028625942574566,116.0,41.91301,-87.67778000000001
Damen Ave & Sunnyside Ave,222.0,82.0,0.0007762916338840808,0.0010156937064149728,cold,cold,0.000239402072530892,304.0,41.96325,-87.679258
Damen Ave & Thomas St (Augusta Blvd),392.0,158.0,0.0013707491913628814,0.001957068361141045,cold,cold,0.0005863191697781638,550.0,41.901315,-87.677409
Damen Ave & Wabansia Ave,213.0,68.0,0.0007448203514293207,0.0008422825858075384,cold,cold,9.746223437821766e-05,281.0,41.91227003510449,-87.67728471402764
Damen Ave & Wellington Ave,177.0,72.0,0.0006189352216102806,0.0008918286202668054,cold,cold,0.00027289339865652475,249.0,41.93588,-87.67842000000002
Damen Ave & Wicker Park Ave,96.0,49.0,0.00033569367951744034,0.0006069389221260203,cold,cold,0.00027124524260857996,145.0,41.90881520000001,-87.6771937
Dayton St & North Ave,678.0,242.0,0.0023708366115919224,0.0029975350847856515,cold,cold,0.0006266984731937292,920.0,41.9105780349,-87.6494219288
Dearborn Pkwy & Delaware Pl,1402.0,383.0,0.004902526444619285,0.004744032799474812,cold,cold,-0.00015849364514447257,1785.0,41.898969,-87.629912
Dearborn St & Adams St,1219.0,126.0,0.004262610368039164,0.0015607000854669095,cold,cold,-0.0027019102825722547,1345.0,41.87936394102892,-87.62977936980188
