end_station_name,return_count_dry,return_count_rainy,return_share_dry,return_share_rainy,total_return_count,rainy_minus_dry_share,rainy_dry_share_ratio,end_lat,end_lng
Canal St & Taylor St,2859.0,898.0,0.0012235847566761122,0.0011727401897279452,3757.0,-5.084456694816699e-05,0.9584462579179681,41.870257,-87.639474
Sedgwick St & Webster Ave,6128.0,1969.0,0.002622639870203293,0.0025714091687910065,8097.0,-5.1230701412286524e-05,0.9804659867867019,41.922167,-87.638888
Racine Ave & Webster Ave,395.0,90.0,0.00016905070964920053,0.00011753520832462702,485.0,-5.151550132457351e-05,0.6952677885868567,41.9216,-87.65859
Larrabee St & Armitage Ave,3879.0,1231.0,0.0016601207664031616,0.0016076204605290651,5110.0,-5.250030587409648e-05,0.9683756294649132,41.918084,-87.643749
Ashland Ave & Wellington Ave,3291.0,1038.0,0.0014084705960899213,0.0013555727360106983,4329.0,-5.2897860079223e-05,0.9624430764340058,41.936083,-87.669807
Southport Ave & Grace St,249.0,41.0,0.00010656614355101501,5.354381712566342e-05,290.0,-5.302232642535159e-05,0.5024514624437771,41.95155,-87.66404
Ravenswood Ave & Lawrence Ave,10444.0,3382.0,0.004469786358420887,0.004416711939487651,13826.0,-5.30744189332355e-05,0.9881259633451588,41.968445,-87.674226
Franklin St & Adams St Corral,1409.0,420.0,0.0006030188604955026,0.0005484976388482595,1829.0,-5.452122164724318e-05,0.9095863582296561,41.87942,-87.63558
Kedzie Ave & George St,800.0,220.0,0.0003423811840996466,0.0002873082870157549,1020.0,-5.5072897083891686e-05,0.8391478889921933,41.933886,-87.707262
Grace/Sheffield Corral,318.0,62.0,0.00013609652067960953,8.096869906807639e-05,380.0,-5.512782161153314e-05,0.5949388252170231,41.9511586,-87.6546115
Rockwell St & Fletcher St,910.0,256.0,0.00038945859691334804,0.00033432237034560576,1166.0,-5.513622656774228e-05,0.8584288922272734,41.93877151938426,-87.69298122576966
Clark St & Armitage Ave,11636.0,3771.0,0.00497993432272936,0.004924725228801872,15407.0,-5.5209093927487823e-05,0.9889136925783949,41.918305755767996,-87.63628183370878
Broadway & Berwyn Ave,3798.0,1202.0,0.0016254546715130723,0.001569748004513352,5000.0,-5.57066669997202e-05,0.9657285843126899,41.97836100000001,-87.659789
State St & Pearson St,4134.0,1312.0,0.001769254768834924,0.0017134021480212295,5446.0,-5.5852620813694404e-05,0.9684315734347024,41.897448,-87.62872199999998
Larrabee St & Kingsbury St 2,634.0,165.0,0.00027133708839896997,0.00021548121526181622,799.0,-5.585587313715375e-05,0.7941465812384422,41.89758,-87.6429
Franklin St & Illinois St,7198.0,2315.0,0.0030805747039365705,0.0030232667474612393,9513.0,-5.730795647533116e-05,0.9813969978396898,41.89102335487364,-87.63548087376064
Malden St & Wilson Ave,317.0,60.0,0.00013566854419948498,7.835680554975135e-05,377.0,-5.731173864973363e-05,0.5775637119745614,41.96526,-87.66275
May St & Cullerton St,1362.0,402.0,0.0005829039659296484,0.0005249905971833341,1764.0,-5.791336874631434e-05,0.9006469799859211,41.855136,-87.654127
Clybourn Ave & Division St,2842.0,887.0,0.0012163091565139945,0.0011583747753771574,3729.0,-5.793438113683709e-05,0.9523687434273509,41.904613,-87.640552
Pine Grove Ave & Wellington Ave,288.0,50.0,0.00012325722627587278,6.529733795812612e-05,338.0,-5.7959888317746664e-05,0.5297685998821482,41.93650999999999,-87.64119
Damen Ave & Leland Ave,3361.0,1057.0,0.0014384289496986403,0.0013803857244347863,4418.0,-5.804322526385404e-05,0.959648208606881,41.967081,-87.679076
Benson Ave & Church St,3585.0,1129.0,0.0015342956812465414,0.0014744138910944879,4714.0,-5.9881790152053506e-05,0.9609711792484603,42.048214,-87.683485
Orleans St & Chestnut St (NEXT Apts),3849.0,1215.0,0.0016472814719994248,0.0015867253123824647,5064.0,-6.055615961696008e-05,0.9632387519163859,41.898203,-87.637536
Western Ave & Leland Ave,2518.0,778.0,0.0010776447769536377,0.0010160265786284424,3296.0,-6.161819832519529e-05,0.9428214728411206,41.96579395810278,-87.68859948272886
Leavitt St & Division St,2198.0,673.0,0.0009406923033137791,0.0008789021689163776,2871.0,-6.179013439740145e-05,0.93431426142853,41.90299699999999,-87.683825
N Southport Ave & W Newport Ave,1367.0,400.0,0.0005850438483302712,0.000522378703665009,1767.0,-6.266514466526224e-05,0.8928883061800993,41.944018882992054,-87.66397501880483
Kingsbury St & Kinzie St 2,249.0,33.0,0.00010656614355101501,4.309624305236324e-05,282.0,-6.346990049865177e-05,0.40441398367529724,41.889188,-87.638387
Southport Ave & Waveland Ave,8485.0,2732.0,0.003631380433856877,0.0035678465460320112,11217.0,-6.353388782486587e-05,0.982504209766423,41.948226,-87.6640712
Sheffield Ave & Kingsbury St,6281.0,2009.0,0.0026881202716623506,0.0026236470391575078,8290.0,-6.447323250484286e-05,0.9760155045144328,41.91052201283299,-87.653106010569
Indiana Ave & 26th St,1406.0,410.0,0.000601734931055129,0.0005354381712566343,1816.0,-6.629675979849471e-05,0.8898241630971828,41.845687,-87.622481
Calumet Ave & 21st St,2643.0,815.0,0.0011311418369692075,0.0010643466087174559,3458.0,-6.679522825175162e-05,0.9409489004671389,41.85418424947,-87.6191537415
