start_station_id,start_station_name,weekday_count,weekend_count,total_start_count,start_lat,start_lng,weekday_system_share,weekend_system_share,share_difference_per_10k,weekend_trip_share_at_station
CHI00496,Broadway & Waveland Ave,9167,4424,13591,41.94907447668462,-87.64863275286949,0.002918155402359736,0.0036228620282458763,7.047066258861401,0.32550952836435876
CHI00301,Clark St & Grace St,4736,2696,7432,41.95078381914601,-87.65917322999431,0.001507623430301703,0.00220778391233067,7.001604820289669,0.3627556512378902
CHI02022,Bissell St & Armitage Ave*,5346,2926,8272,41.91829997678992,-87.65218388985485,0.0017018063467890423,0.0023961334300740132,6.943270832849709,0.3537234042553192
CHI00504,Halsted St & Wrightwood Ave,6668,3431,10099,41.92914317145612,-87.6490799922003,0.0021226421100616036,0.0028096834581626587,6.8704134810105515,0.3397366075849094
CHI00353,Wilton Ave & Belmont Ave,10444,4888,15332,41.940228459546745,-87.65294453242016,0.0033246661963832317,0.004002836707519404,6.781705111361725,0.3188103313331594
CHI00482,Pine Grove Ave & Irving Park Rd,6718,3431,10149,41.954368854153614,-87.64794030029061,0.002138558742560566,0.0028096834581626587,6.711247156020927,0.33806286333628927
CHI00395,Clarendon Ave & Junior Ter,5696,3030,8726,41.9610035363469,-87.64959752653115,0.0018132227742817778,0.002481300168531873,6.680773942500952,0.34723813889525557
13029,Field Museum,1457,1382,2839,41.86531202508607,-87.61787447674665,0.00046381067101975955,0.0011317349283534812,6.679242573337217,0.48679112363508276
CHI00291,Halsted St & Dickens Ave,5166,2821,7987,41.91993657569442,-87.64883127143852,0.0016445064697927783,0.0023101477806694434,6.656413108766651,0.3531989482909728
CHI00394,Shore Dr & 55th St,5174,2821,7995,41.79521203748325,-87.58071903755025,0.001647053130992612,0.0023101477806694434,6.630946496768313,0.35284552845528455
CHI00495,Clark St & Winnemac Ave,6299,3239,9538,41.97334737757454,-87.66785448733023,0.0020051773622192623,0.002652452556394302,6.472751941750399,0.33958901237156636
CHI02025,Buckingham Fountain,5723,3014,8737,41.87001371131374,-87.62374893459588,0.0018218177558312176,0.0024681975933845096,6.46379837553292,0.3449696692228454
CHI00383,Field Blvd & South Water St,6502,3309,9811,41.88634845163236,-87.61751598833777,0.002069798890165049,0.0027097763226640154,6.399774324989663,0.33727448781979413
CHI00378,Kedzie Ave & Milwaukee Ave,4911,2674,7585,41.92912248091677,-87.70802175527092,0.0015633316440480708,0.0021897678715030455,6.264362274549748,0.35253790375741595
CHI02021,Wentworth Ave & Cermak Rd*,2725,1824,4549,41.85321338106087,-87.6318719011524,0.0008674564711934419,0.001493693566799385,6.2623709560594305,0.4009672455484722
CHI00476,Broadway & Sheridan Rd,6607,3316,9923,41.952832744019126,-87.64999415344218,0.00210322381841287,0.002715508699290987,6.122848808781168,0.33417313312506297
LF-005,DuSable Lake Shore Dr & North Blvd,3592,2141,5733,41.91172245353749,-87.62680418344148,0.001143450878725447,0.0017532883369065148,6.098374581810678,0.3734519448805163
CHI00465,Sheffield Ave & Wrightwood Ave,6643,3327,9970,41.92871079159,-87.65383314364914,0.002114683793812123,0.002724516719704799,6.0983292589267615,0.3337011033099298
TA1308000001,Theater on the Lake,2854,1825,4679,41.92627679520502,-87.63083471849482,0.0009085213830407644,0.001494512477746095,5.859910947053306,0.3900406069673007
CHI00330,McClurg Ct & Ohio St,11417,5152,16569,41.89259684402388,-87.61729120368288,0.0036344038648130367,0.004219029197450894,5.846253326378575,0.3109421208280524
CHI00411,Racine Ave & Belmont Ave,4938,2602,7540,41.93974071909245,-87.65886589847734,0.0015719266255975104,0.0021308062833399117,5.588796577424013,0.34509283819628644
