end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,weekday_station_share,weekend_station_share,total_return_share,weekend_minus_weekday_share_normalized,weekday_minus_weekend_share_normalized,share_difference_orientation
Humboldt Blvd & Armitage Ave,41.91751339399,-87.70180895549998,2995.0,1496.0,4491.0,0.0009674510072473225,0.0012419926343859276,0.0010443506004260187,0.00027454162713860515,-0.00027454162713860515,weekend_oriented
Hampden Ct & Diversey Pkwy,41.93247,-87.64242,2881.0,1451.0,4332.0,0.0009306264947844861,0.0012046332302767253,0.0010073762638711898,0.0002740067354922392,-0.0002740067354922392,weekend_oriented
Talman Ave & Addison St,41.9466358306,-87.69461475800001,2088.0,1137.0,3225.0,0.0006744700177403704,0.0009439476104925132,0.000749951165970588,0.0002694775927521428,-0.0002694775927521428,weekend_oriented
Sheridan Rd & Lawrence Ave,41.969517,-87.654691,3435.0,1656.0,5091.0,0.0011095807044723047,0.001374826071218647,0.001183876398746128,0.0002652453667463424,-0.0002652453667463424,weekend_oriented
Clark St & Wellington Ave,41.9364968219,-87.6475386582,9011.0,3823.0,12834.0,0.0029107515947598074,0.0031738889313217924,0.00298445682606714,0.00026313733656198497,-0.00026313733656198497,weekend_oriented
Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169,3535.0,1692.0,5227.0,0.0011418829083870733,0.001404713594506009,0.0012155022463653528,0.0002628306861189357,-0.0002628306861189357,weekend_oriented
Lincoln Ave & Sunnyside Ave,41.963004,-87.684781,3873.0,1815.0,5688.0,0.0012510643576189916,0.0015068292990711623,0.001322704568074637,0.0002557649414521707,-0.0002557649414521707,weekend_oriented
Southport Ave & Irving Park Rd,41.954177,-87.664358,4828.0,2182.0,7010.0,0.0015595504050050326,0.0018115159948062125,0.001630126410373278,0.00025196558980117995,-0.00025196558980117995,weekend_oriented
Broadway & Wilson Ave,41.965221,-87.658139,6703.0,2908.0,9611.0,0.0021652167284069456,0.0024142477144346777,0.0022349707460909522,0.00024903098602773203,-0.00024903098602773203,weekend_oriented
Wells St & 19th St,41.856802,-87.633879,1005.0,687.0,1692.0,0.0003246371493434254,0.0005703535694004894,0.0003934627512627085,0.00024571642005706405,-0.00024571642005706405,weekend_oriented
Glenwood Ave & Morse Ave,42.00797192287,-87.6655023944,2984.0,1446.0,4430.0,0.000963897764816698,0.0012004821853757027,0.0010301654775968076,0.0002365844205590048,-0.0002365844205590048,weekend_oriented
Wabash Ave & Cermak Rd,41.852619,-87.626488,1977.0,1054.0,3031.0,0.0006386145713949771,0.0008750402651355399,0.0007048378245137526,0.00023642569374056279,-0.00023642569374056279,weekend_oriented
Fairbanks Ct & Grand Ave,41.89184737210993,-87.62058019638062,11156.0,4623.0,15779.0,0.003603633868731596,0.00383805611548539,0.0036692959528216765,0.00023442224675379424,-0.00023442224675379424,weekend_oriented
Sheridan Rd & Irving Park Rd,41.954245,-87.654406,9501.0,3972.0,13473.0,0.0030690323939421738,0.0032975900693722623,0.0031330518012780565,0.0002285576754300885,-0.0002285576754300885,weekend_oriented
Racine Ave & Wrightwood Ave,41.928887,-87.658971,4226.0,1919.0,6145.0,0.001365091137438125,0.0015931710330124298,0.0014289767177951204,0.00022807989557430478,-0.00022807989557430478,weekend_oriented
Wentworth Ave & 24th St,41.85008369347577,-87.6321405172348,1135.0,714.0,1849.0,0.0003666300144326247,0.0005927692118660109,0.0004299720018231371,0.0002261391974333862,-0.0002261391974333862,weekend_oriented
Western Ave & Leland Ave,41.96579395810278,-87.68859948272886,3296.0,1551.0,4847.0,0.0010646806410307763,0.001287654128297175,0.0011271359074292837,0.00022297348726639868,-0.00022297348726639868,weekend_oriented
Winthrop Ave & Lawrence Ave,41.968812,-87.657659,4036.0,1837.0,5873.0,0.0013037169500000646,0.001525093896635661,0.0013657250225566706,0.00022137694663559642,-0.00022137694663559642,weekend_oriented
California Ave & Milwaukee Ave,41.922695,-87.697153,7295.0,3104.0,10399.0,0.0023564457755823765,0.002576968674554759,0.0024182146278846958,0.00022052289897238255,-0.00022052289897238255,weekend_oriented
