condition_type,condition_value,day_type,rank_in_group,end_station_name,return_count,return_share,total_returns_in_group,end_lat,end_lng
rain,dry,weekday,9,Clark St & Elm St,15430,0.0066036770883219345,2336577,41.90301732164141,-87.63152289470456
rain,dry,weekday,10,DuSable Lake Shore Dr & North Blvd,14984,0.006412799578186381,2336577,41.911722,-87.626804
rain,dry,weekday,11,Canal St & Adams St,14802,0.006334907858803711,2336577,41.879255,-87.639904
rain,dry,weekday,12,State St & Chicago Ave,14462,0.006189395855561362,2336577,41.896617200407526,-87.62857854366302
rain,dry,weekday,13,Franklin St & Monroe St,13939,0.005965564156456217,2336577,41.88031616332084,-87.63518440237203
rain,dry,weekday,14,Wells St & Concord Ln,13848,0.005926618296764883,2336577,41.912133,-87.634656
rain,dry,weekday,15,Daley Center Plaza,13623,0.005830323588736857,2336577,41.88424087537072,-87.62963348535213
rain,dry,weekday,16,Wells St & Elm St,13617,0.00582775572985611,2336577,41.903222,-87.634324
rain,dry,weekday,17,Wells St & Huron St,13368,0.005721189586305095,2336577,41.89478399980203,-87.6343724037867
rain,dry,weekday,18,Millennium Park,12924,0.005531168029129791,2336577,41.8810317,-87.62408432
rain,dry,weekday,19,Wells St & Hubbard St,12535,0.005364685178361338,2336577,41.889906,-87.634266
rain,dry,weekday,20,Orleans St & Merchandise Mart Plaza,12521,0.005358693507639594,2336577,41.888243,-87.63638999999999
rain,dry,weekend,1,DuSable Lake Shore Dr & Monroe St,12402,0.01440831458037323,860753,41.880958,-87.616743
rain,dry,weekend,2,Navy Pier,12172,0.01414110668217247,860753,41.892278,-87.612043
rain,dry,weekend,3,DuSable Lake Shore Dr & North Blvd,10936,0.012705154672710987,860753,41.911722,-87.626804
rain,dry,weekend,4,Michigan Ave & Oak St,9819,0.011407453706231637,860753,41.90096039009614,-87.62377663865593
rain,dry,weekend,5,Theater on the Lake,9113,0.010587241636102343,860753,41.926277,-87.630834
rain,dry,weekend,6,Streeter Dr & Grand Ave,8026,0.009324393873736136,860753,41.892278002970286,-87.61204300164603
rain,dry,weekend,7,Millennium Park,7388,0.008583182399596632,860753,41.8810317,-87.62408432
rain,dry,weekend,8,Wells St & Concord Ln,6600,0.007667704904891414,860753,41.912133,-87.634656
rain,dry,weekend,9,Clark St & Lincoln Ave,6317,0.007338923012757435,860753,41.915689,-87.6346
rain,dry,weekend,10,Kingsbury St & Kinzie St,6239,0.007248304682063263,860753,41.889172621529056,-87.63849963502554
rain,dry,weekend,11,Clark St & Armitage Ave,6175,0.007173951179955226,860753,41.918305755768,-87.63628183370878
rain,dry,weekend,12,Dusable Harbor,6144,0.007137936202371645,860753,41.88697599432289,-87.61281299950515
rain,dry,weekend,13,Clark St & Elm St,6014,0.006986905651214692,860753,41.90301732164141,-87.63152289470456
rain,dry,weekend,14,Montrose Harbor,5775,0.006709241791779988,860753,41.963982,-87.638181
rain,dry,weekend,15,Wells St & Elm St,5765,0.006697624057075607,860753,41.903222,-87.634324
rain,dry,weekend,16,Shedd Aquarium,5663,0.006579123163090922,860753,41.86722596201104,-87.61535540410257
rain,dry,weekend,17,DuSable Lake Shore Dr & Diversey Pkwy,5038,0.005853014744067114,860753,41.932588,-87.636427
rain,dry,weekend,18,Indiana Ave & Roosevelt Rd,4934,0.005732190303141552,860753,41.86788801019692,-87.6230410031074
rain,dry,weekend,19,State St & Chicago Ave,4895,0.005686881137794466,860753,41.896617200407526,-87.62857854366302
rain,dry,weekend,20,McClurg Ct & Ohio St,4704,0.00546498240494079,860753,41.892592119709725,-87.61728912591934
